epoch,lr-Adam,step,train_loss_epoch,train_loss_step
12,,5749,,3.610969066619873
12,,5797,3.4620509147644043,
,0.0003812798742493501,5798,,
13,,5799,,1.8215746879577637
13,,5849,,1.567610740661621
13,,5899,,6.097478866577148
13,,5949,,1.4845820665359497
13,,5999,,1.2781959772109985
13,,6049,,1.4293439388275146
13,,6099,,3.4949429035186768
13,,6149,,1.2691980600357056
13,,6199,,3.321424961090088
13,,6243,3.326281785964966,
,0.0003431518868244151,6244,,
14,,6249,,1.6817036867141724
14,,6299,,6.71888542175293
14,,6349,,1.8537344932556152
14,,6399,,2.9160351753234863
14,,6449,,1.3019577264785767
14,,6499,,3.7051925659179688
14,,6549,,1.1964237689971924
14,,6599,,8.321911811828613
14,,6649,,3.168039560317993
14,,6689,3.2071690559387207,
,0.0003088366981419736,6690,,
15,,6699,,2.738301992416382
15,,6749,,0.9978764653205872
15,,6799,,2.635185718536377
15,,6849,,1.6671570539474487
15,,6899,,3.6140925884246826
15,,6949,,0.877190351486206
15,,6999,,2.1857192516326904
15,,7049,,1.3043047189712524
15,,7099,,3.9550654888153076
15,,7135,3.128150463104248,
,0.0002779530283277762,7136,,
16,,7149,,2.4215595722198486
16,,7199,,3.1970930099487305
16,,7249,,1.2165642976760864
16,,7299,,2.446842908859253
16,,7349,,1.207818865776062
16,,7399,,1.6933557987213135
16,,7449,,2.4486083984375
16,,7499,,1.4682976007461548
16,,7549,,3.6756200790405273
16,,7581,2.9866855144500732,
,0.0002501577254949986,7582,,
17,,7599,,3.838763952255249
17,,7649,,6.476955890655518
17,,7699,,0.6973866820335388
17,,7749,,1.1608397960662842
17,,7799,,1.8483946323394775
17,,7849,,1.3006489276885986
17,,7899,,1.127799391746521
17,,7949,,1.3409759998321533
17,,7999,,3.4501025676727295
17,,8027,2.831359386444092,
,0.00022514195294549873,8028,,
18,,8049,,3.8057479858398438
18,,8099,,1.140990972518921
18,,8149,,6.828053951263428
18,,8199,,4.0526838302612305
18,,8249,,0.7335057854652405
18,,8299,,1.2243399620056152
18,,8349,,1.7400314807891846
18,,8399,,1.4362179040908813
18,,8449,,3.3819801807403564
18,,8473,2.6909008026123047,
,0.00020262775765094885,8474,,
19,,8499,,4.440568447113037
19,,8549,,1.0860997438430786
19,,8599,,0.8670168519020081
19,,8649,,4.970241069793701
19,,8699,,2.493964433670044
19,,8749,,0.719338595867157
19,,8799,,1.4159233570098877
19,,8849,,3.2481637001037598
19,,8899,,4.303976058959961
19,,8919,2.5529065132141113,
