epoch,step,train_loss_epoch,train_loss_step
131,1187,15.251327514648438,
132,1196,15.436714172363281,
133,1199,,15.344342231750488
133,1205,15.246138572692871,
134,1214,15.469355583190918,
135,1223,15.158770561218262,
136,1232,15.445365905761719,
137,1241,15.406599044799805,
138,1249,,15.74212646484375
138,1250,15.432811737060547,
139,1259,15.471707344055176,
140,1268,15.421682357788086,
141,1277,15.35622501373291,
142,1286,15.340353965759277,
143,1295,15.552062034606934,
144,1299,,16.593257904052734
144,1304,15.400495529174805,
145,1313,15.284420013427734,
146,1322,15.398574829101562,
147,1331,15.641436576843262,
148,1340,15.376580238342285,
149,1349,,14.576985359191895
149,1349,15.249239921569824,
150,1358,15.563923835754395,
151,1367,15.191635131835938,
152,1376,15.388582229614258,
153,1385,15.36722183227539,
154,1394,15.451264381408691,
155,1399,,13.416044235229492
155,1403,15.274469375610352,
156,1412,15.18492603302002,
157,1421,15.242720603942871,
158,1430,15.197402954101562,
159,1439,15.485105514526367,
160,1448,15.343574523925781,
161,1449,,14.01501178741455
161,1457,15.274532318115234,
162,1466,15.426920890808105,
163,1475,15.287614822387695,
164,1484,15.549286842346191,
165,1493,15.427746772766113,
166,1499,,14.144039154052734
166,1502,15.480229377746582,
167,1511,15.514901161193848,
168,1520,15.43944263458252,
169,1529,15.443320274353027,
170,1538,15.556130409240723,
171,1547,15.546319961547852,
172,1549,,15.757808685302734
172,1556,15.217768669128418,
173,1565,15.351305961608887,
174,1574,15.339494705200195,
175,1583,15.426487922668457,
176,1592,15.658693313598633,
177,1599,,15.537725448608398
177,1601,15.530560493469238,
178,1610,15.564956665039062,
179,1619,15.464783668518066,
180,1628,15.446565628051758,
181,1637,15.463786125183105,
182,1646,15.488570213317871,
183,1649,,15.9697847366333
183,1655,15.537246704101562,
184,1664,15.313020706176758,
185,1673,15.295205116271973,
186,1682,15.544395446777344,
187,1691,15.4447660446167,
188,1699,,17.51946258544922
188,1700,15.404341697692871,
189,1709,15.500128746032715,
190,1718,15.627724647521973,
191,1727,15.291715621948242,
192,1736,15.585566520690918,
193,1745,15.150423049926758,
194,1749,,16.399160385131836
194,1754,15.476166725158691,
195,1763,15.3720121383667,
196,1772,15.398416519165039,
197,1781,15.40865707397461,
198,1790,15.35886287689209,
199,1799,,13.828709602355957
199,1799,15.266959190368652,
200,1808,15.374800682067871,
201,1817,15.611039161682129,
202,1826,15.249432563781738,
203,1835,15.622211456298828,
204,1844,15.495515823364258,
205,1849,,15.06936264038086
205,1853,15.507415771484375,
206,1862,15.250696182250977,
207,1871,15.569256782531738,
208,1880,15.500995635986328,
209,1889,15.16063404083252,
210,1898,15.123457908630371,
211,1899,,17.29351806640625
211,1907,15.402861595153809,
212,1916,15.39785099029541,
213,1925,15.487039566040039,
214,1934,15.388056755065918,
215,1943,15.67232894897461,
216,1949,,15.510907173156738
216,1952,15.37129020690918,
217,1961,15.289944648742676,
218,1970,15.29627513885498,
219,1979,15.630574226379395,
220,1988,15.446301460266113,
221,1997,15.340293884277344,
222,1999,,14.65838623046875
222,2006,15.353759765625,
223,2015,15.455039024353027,
224,2024,15.733403205871582,
225,2033,15.216726303100586,
226,2042,15.63762092590332,
227,2049,,16.270965576171875
227,2051,15.637489318847656,
228,2060,15.2570219039917,
229,2069,15.54123592376709,
230,2078,15.451809883117676,
231,2087,15.37037467956543,
232,2096,15.249974250793457,
233,2099,,15.960399627685547
233,2105,15.108592987060547,
234,2114,15.298460006713867,
235,2123,15.448775291442871,
236,2132,15.22971248626709,
237,2141,15.631940841674805,
238,2149,,13.293047904968262
238,2150,15.31175708770752,
239,2159,15.409396171569824,
240,2168,15.526973724365234,
241,2177,15.339890480041504,
242,2186,15.242568969726562,
243,2195,15.3189697265625,
244,2199,,13.48648452758789
244,2204,15.177567481994629,
245,2213,15.401559829711914,
246,2222,15.289239883422852,
247,2231,15.411154747009277,
248,2240,15.414328575134277,
249,2249,,13.23036003112793
249,2249,15.479339599609375,
250,2258,15.38432502746582,
251,2267,15.400394439697266,
252,2276,15.45934009552002,
253,2285,15.307563781738281,
254,2294,15.495763778686523,
255,2299,,14.057738304138184
255,2303,15.408486366271973,
256,2312,15.6663236618042,
257,2321,15.386093139648438,
